"BICD 100",DI,A04,M,7:00p-7:50p,HSS,2150,Bozinovic, Goran          ,
"BICD 100",DI,A05,Tu,5:00p-5:50p,MANDE,B-104,Bozinovic, Goran          ,
"BICD 100",DI,A07,W,6:00p-6:50p,SEQUO,148,Bozinovic, Goran          ,
"BICD 100",DI,A08,W,7:00p-7:50p,SEQUO,148,Bozinovic, Goran          ,
"BICD 100",DI,A09,W,9:00a-9:50a,CENTR,218,Bozinovic, Goran          ,
"BICD 100",DI,A10,Th,7:00p-7:50p,MANDE,B-104,Bozinovic, Goran          ,
"BICD 100",DI,A11,F,1:00p-1:50p,SOLIS,105,Bozinovic, Goran          ,
"BICD 100",DI,A12,F,4:00p-4:50p,SEQUO,148,Bozinovic, Goran          ,
"BICD 100",DI,A13,M,2:00p-2:50p,CENTR,217A,Bozinovic, Goran          ,
"BICD 100",LE,B00,MWF,4:00p-4:50p,WLH,2001,Grossman, Emily N         ,
"BICD 100",DI,B01,M,5:00p-5:50p,WLH,2206,Grossman, Emily N         ,
"BICD 100",DI,B02,M,6:00p-6:50p,WLH,2206,Grossman, Emily N         ,
"BICD 100",DI,B03,W,12:00p-12:50p,MANDE,B-104,Grossman, Emily N         ,
"BICD 100",DI,B04,W,6:00p-6:50p,CENTR,217B,Grossman, Emily N         ,
"BICD 100",DI,B05,W,7:00p-7:50p,CENTR,217B,Grossman, Emily N         ,
"BICD 100",DI,B06,Tu,6:00p-6:50p,WLH,2114,Grossman, Emily N         ,
"BICD 100",DI,B07,Th,9:00a-9:50a,WLH,2112,Grossman, Emily N         ,
"BICD 100",DI,B08,Th,10:00a-10:50a,WLH,2112,Grossman, Emily N         ,
"BICD 100",DI,B09,F,12:00p-12:50p,MANDE,B-104,Grossman, Emily N         ,
"BICD 100",DI,B10,F,12:00p-12:50p,WLH,2206,Grossman, Emily N         ,
"BICD 100",DI,B11,Th,5:00p-5:50p,HSS,1128A,Grossman, Emily N         ,
"BICD 100",DI,B12,Th,6:00p-6:50p,HSS,1128A,Grossman, Emily N         ,
"BICD 100",LE,C00,TuTh,2:00p-3:20p,PCYNH,121,McDonnell, Lisa Marie       ,
"BICD 100",DI,C01,M,5:00p-5:50p,CENTR,205,McDonnell, Lisa Marie       ,
"BICD 100",DI,C02,M,6:00p-6:50p,CENTR,205,McDonnell, Lisa Marie       ,
"BICD 110",LE,A00,TuTh,12:30p-1:50p,SEQUO,147,Kiger, Amy             ,
"BICD 110",DI,A01,M,11:00a-11:50a,HSS,2152,Kiger, Amy             ,
"BICD 110",DI,A03,M,1:00p-1:50p,HSS,2152,Kiger, Amy             ,
"BICD 110",LE,B00,TuTh,11:00a-12:20p,PCYNH,109,Wilhelm, James E.         ,
"BICD 110",DI,B01,Tu,10:00a-10:50a,CENTR,217A,Wilhelm, James E.         ,
"BICD 110",DI,B02,W,8:00a-8:50a,CENTR,207,Wilhelm, James E.         ,
"BICD 110",DI,B03,W,4:00p-4:50p,WLH,2115,Wilhelm, James E.         ,
"BICD 110",DI,B04,W,5:00p-5:50p,WLH,2115,Wilhelm, James E.         ,
"BICD 110",DI,B05,F,8:00a-8:50a,CENTR,207,Wilhelm, James E.         ,
"BICD 110",DI,B06,F,3:00p-3:50p,WLH,2112,Wilhelm, James E.         ,
"BICD 140",LE,A00,TuTh,12:30p-1:50p,TATA,3201,Zuniga, Elina I          ,
"BICD 140",DI,A01,M,6:00p-6:50p,WLH,2209,Zuniga, Elina I          ,
"BICD 140",DI,A02,W,2:00p-2:50p,WLH,2115,Zuniga, Elina I          ,
"BICD 140",DI,A03,W,3:00p-3:50p,WLH,2115,Zuniga, Elina I          ,
"BICD 140",DI,A04,F,4:00p-4:50p,WLH,2112,Zuniga, Elina I          ,
"BICD 156",LE,A00,MWF,9:00a-9:50a,SEQUO,147,Kryazhimskiy, Sergey A       ,
"BICD 156",DI,A01,Th,5:00p-5:50p,YORK,4050A,Kryazhimskiy, Sergey A       ,
"BICD 156",DI,A02,Th,6:00p-6:50p,YORK,4050A,Kryazhimskiy, Sergey A       ,
"BIEB 126",LE,A00,MWF,10:00a-10:50a,SOLIS,104,Kohn, Joshua R           ,
"BIEB 126",DI,A01,M,2:00p-2:50p,HSS,2150,Kohn, Joshua R           ,
"BIEB 126",DI,A02,Tu,5:00p-5:50p,CENTR,217B,Kohn, Joshua R           ,
"BIEB 126",DI,A03,F,2:00p-2:50p,HSS,2150,Kohn, Joshua R           ,
"BIEB 135",LE,A00,MW,1:00p-1:50p,YORK,4124,Shurin, Jonathan          ,
"BIEB 135",LA,A01,MW,2:00p-5:50p,YORK,4124,Shurin, Jonathan          ,
"BIEB 146",LE,A00,MWF,11:00a-11:50a,CENTR,115,Petrie, Katherine Lynn       ,
"BIEB 146",DI,A01,Tu,6:00p-6:50p,CENTR,217B,Petrie, Katherine Lynn       ,
"BIEB 146",DI,A02,F,3:00p-3:50p,CENTR,217A,Petrie, Katherine Lynn       ,
"BIEB 146",DI,A03,F,4:00p-4:50p,CENTR,217A,Petrie, Katherine Lynn       ,
"BIEB 146",DI,A04,W,10:00a-10:50a,WLH,2114,Petrie, Katherine Lynn       ,
"BIEB 146",DI,A05,W,6:00p-6:50p,HSS,2154,Petrie, Katherine Lynn       ,
"BIEB 174",LE,A00,TuTh,11:00a-12:20p,TATA,3201,Cleland, Elsa Eleanor       ,
"BIEB 174",DI,A01,M,10:00a-10:50a,CENTR,217B,Cleland, Elsa Eleanor       ,
"BIEB 174",DI,A02,M,11:00a-11:50a,CENTR,217B,Cleland, Elsa Eleanor       ,
"BIEB 174",DI,A03,M,3:00p-3:50p,CENTR,217B,Cleland, Elsa Eleanor       ,
"BIEB 174",DI,A04,M,4:00p-4:50p,CENTR,217B,Cleland, Elsa Eleanor       ,
"BIEB 174",DI,A05,M,5:00p-5:50p,CENTR,217B,Cleland, Elsa Eleanor       ,
"BIEB 194",SE,A00,W,1:00p-2:20p,YORK,3010,Ryan, Elizabeth Mary        ,
"BILD 1",LE,A00,TuTh,9:30a-10:50a,TATA,3201,Mel, Stephanie           ,
"BILD 1",DI,A01,M,4:00p-4:50p,CENTR,220,Mel, Stephanie           ,
"BILD 1",DI,A02,M,5:00p-5:50p,HSS,1315,Mel, Stephanie           ,
"BILD 1",DI,A03,Tu,8:00p-8:50p,SOLIS,111,Mel, Stephanie           ,
"BILD 1",DI,A04,F,3:00p-3:50p,CENTR,207,Mel, Stephanie           ,
"BILD 1",DI,A05,W,3:00p-3:50p,APM,2301,Mel, Stephanie           ,
"BILD 1",LE,B00,MWF,4:00p-4:50p,PETER,110,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B01,M,11:00a-11:50a,HSS,2321,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B02,M,3:00p-3:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B03,W,5:00p-5:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B04,W,6:00p-6:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B05,W,7:00p-7:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B06,W,8:00p-8:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B07,Th,7:00p-7:50p,CENTR,217B,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B08,F,1:00p-1:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B09,F,2:00p-2:50p,HSS,1315,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",DI,B10,W,8:00p-8:50p,HSS,2321,Pekkurnaz Banghart, Gulcin     ,
"BILD 1",LE,C00,MW,5:00p-6:20p,WLH,2001,Cooper, Andrew Michael       ,
"BILD 1",DI,C01,M,4:00p-4:50p,HSS,1315,Cooper, Andrew Michael       ,
"BILD 1",DI,C02,M,7:00p-7:50p,HSS,1315,Cooper, Andrew Michael       ,
"BILD 1",DI,C03,Tu,6:00p-6:50p,YORK,3000A,Cooper, Andrew Michael       ,
"BILD 1",DI,C04,Tu,7:00p-7:50p,YORK,3000A,Cooper, Andrew Michael       ,
"BILD 1",DI,C05,W,8:00a-8:50a,HSS,2321,Cooper, Andrew Michael       ,
"BILD 1",DI,C06,W,10:00a-10:50a,WLH,2209,Cooper, Andrew Michael       ,
"BILD 1",DI,C07,W,11:00a-11:50a,WLH,2209,Cooper, Andrew Michael       ,
"BILD 1",DI,C08,W,7:00p-7:50p,CENTR,220,Cooper, Andrew Michael       ,
"BILD 1",DI,C09,F,3:00p-3:50p,CENTR,220,Cooper, Andrew Michael       ,
"BILD 1",DI,C10,F,4:00p-4:50p,CENTR,220,Cooper, Andrew Michael       ,
"BILD 1",DI,C11,F,9:00a-9:50a,HSS,2154,Cooper, Andrew Michael       ,
"BILD 1",DI,C12,F,1:00p-1:50p,HSS,2154,Cooper, Andrew Michael       ,
"BILD 2",LE,A00,MWF,9:00a-9:50a,PETER,108,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A01,W,3:00p-3:50p,HSS,2150,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A02,Th,8:00p-8:50p,CENTR,217B,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A03,W,5:00p-5:50p,HSS,2150,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A04,W,6:00p-6:50p,HSS,2150,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A05,W,7:00p-7:50p,HSS,2150,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A06,W,8:00a-8:50a,YORK,3000A,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A07,Th,7:00p-7:50p,YORK,3000A,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A08,F,3:00p-3:50p,HSS,2154,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A09,F,2:00p-2:50p,HSS,2321,Owens, Melinda Tsao-Ying      ,
"BILD 2",DI,A10,F,3:00p-3:50p,HSS,2321,Owens, Melinda Tsao-Ying      ,
